SYSTEM,SECTOR,REGION,GRID
5251977,Quence,Outer Rim Territories,P-18
23 Mere,,Colonies,M-13
2GS-91E20,,Core Worlds,M-11
A-Foroon,Arkanis,Outer Rim Territories,R-16
Aaeton,,Core Worlds,K-9
Aakaash,Oplovis,Outer Rim Territories,M-5
Aaloth,Gaulus,Outer Rim Territories,S-17
Aar,Nijune,Outer Rim Territories,N-5
Aargau,,Core Worlds,L-10
Aargonar,Perkell,Mid Rim,Q-7
Aaris,Kathol,Outer Rim Territories,M-21
Aaron,Tharin,Outer Rim Territories,S-8
Ab Dalis,Gaulus,Outer Rim Territories,R-17
Ab'Bshingh,Sujimis,Outer Rim Territories,O-19
Abaarian,Abaar,Mid Rim,K-7
Abafar,Quelii,Outer Rim Territories,O-6
Abar,Tragan Cluster,Outer Rim Territories,N-5
Abbaji,Zuma (Spar),Outer Rim Territories,H-16
Abecederia,Noolian,Mid Rim,Q-13
Abednedo,,Colonies,N-12
Abelor,Yushan,Mid Rim,K-17
Abersyn,Cyrillian Protectorate,Expansion Region,O-12
Abhean,Maldrood,Mid Rim,R-7
Abo Dreth,Corporate Sector,Outer Rim Territories,S-3
Abonshee,Fakir,Colonies,K-9
Abraxas,Yushan,Mid Rim,K-17
Abraxin,Tion Hegemony,Outer Rim Territories,S-6
Abregado,,Core Worlds,K-13
Abridon,Koradin,Outer Rim Territories,J-18
Abrihom,Rayter,Outer Rim Territories,J-19
Abrion Major,Abrion,Outer Rim Territories,S-15
Absanz,Allied Tion,Outer Rim Territories,S-6
Absit,Tunka,Outer Rim Territories,I-19
Abyss,Ash Worlds,Outer Rim Territories,S-7
Ac'fren,Calaron,Outer Rim Territories,T-9
Acachla,,Colonies,N-10
Achillea,Tapani,Colonies,L-13
Acomber,,Colonies,M-9
Actlyon,Jjannex,Outer Rim Territories,K-19
Adalog,Mytaranor,Mid Rim,Q-10
Adamastor,,Core Worlds,L-9
Adana,,Deep Core,L-10
Adari,Adari,Inner Rim,M-9
Adarlon,Minos Cluster,Outer Rim Territories,M-20
Adelphi,Kibilini,Outer Rim Territories,P-17
Adikaria,,Core Worlds,K-12
Adim,Adari,Inner Rim,M-9
Adin,Lostar,Expansion Region,M-7
Adinax Nebula,Semagi,Mid Rim,I-16
Adner,Yataga,Expansion Region,N-16
Adoris,Senex,Mid Rim,L-17
Adras,Seswenna,Outer Rim Territories,M-17
